Id Empresa;Empresa;Departamento;Municipio; NUSD;Nombre del relleno sanitario;Estado del relleno sanitario;Fecha en que adquiri el estado;Fecha de reporte del estado;Ano de reporte de informacion;Fecha de reporte de informacion;Propietario del relleno sanitario;Latitud;Longitud;Altitud;Fecha inicio de operaciones;Fecha terminacion vida util;Vida util (meses);area media que contiene residuos (m2);Profundidad media de los residuos (m);Tiene cerco perimetral;Tiene caseta de entrada;Tiene drenaje de lixiviados;Cuenta con drenaje de aguas lluvias;Tiene impermeabilizacion de fondo;Tipo de impermeabilizacion de fondo;Tiene cobertura final;Tipo de cobertura final;Tiene estacion de pesaje;Aplica compactacion a los residuos dispuestos;Compactacion aplicada a los residuos dispuestos (T/m3);Capacidad de diseno del relleno sanitario (m3);Capacidad disponible (m3);Tipo de relleno sanitario;Tipo de residuos dispuestos;Caracterizacion de residuos;Organicos (%);Vidrio (%);Metal (%);Plastico (%);Papel (%);Carton (%);Otros organicos (%);Otros inorganicos (%);Fecha ultima caracterizacion;Sistema de drenaje de gases;Cantidad de pozos verticales (chimeneas y horizontales);Cuenta con un proyecto de biogas;Tiene programado desarrollar un proyecto de biogas en los proximos cinco (5) anos;Caudal de biogas en la estacion de quemado (m3/h);Contenido de metano en la estacion de quemado (%);Cantidad de lixiviado producido (L/s);Cantidad de lixiviado tratado (L/s);Representante legal de la empresa;Telefono de contacto;Correo electronico de la empresa
1868;VEOLIA ASEO BUGA  S.A.  E.S.P.;VALLE DEL CAUCA;SAN PEDRO;165;RELLENO SANITARIO REGIONAL PRESIDENTE;1|EN OPERACION;1/12/1999;27/12/2013;2016;17/05/2017;Empresa;3.98033615;-76.21435089;1081.97;1/12/1999;20/05/2008;360;78900;74;SI;SI;SI;SI;NO;Sintetico;SI;Arcilla;SI;SI;1.11;ND;3678856;Relleno sanitario;ordinarios-industriales-poda de arboles y cesped;SI;72.94;0.8;0.33;18.3;0.81;1.1;5.7;0;7/10/2016;Activo;16;NO;SI-reduccion de emisiones (quema);ND;ND;3.2;3.2;HECTOR GIRALDO AVILA;2283583;veolia.aseosuroccidente@veolia.com
2636;REDIBA S.A ES.P;SANTANDER;BARRANCABERMEJA;167;LA ESMERALDA ;3|INACTIVO;1/01/2015;13/05/2019;2008;15/04/2009;Municipio;7.0673313;-73.8525627;ND;18/10/2002;ND;ND;ND;ND;SI;NO;SI;SI;NO;ND;NO;Tierra;NO;NO;0.71;ND;ND;Relleno sanitario;ordinarios-escombros-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.16;0.16;ISMARIS ORTIZ GONZALEZ;6576852;gerentegeneral@rediba.net
626;EMPRESA METROPOLITANA DE ASEO S.A.  E.S.P.;CALDAS;MANIZALES;185;RELLENO SANITARIO LA ESMERALDA;1|EN OPERACION;20/09/1999;31/10/2008;2016;7/03/2017;Empresa;5.0681104;-75.5173198;2046;16/02/1995;31/12/2016;43;120000;36;SI;SI;SI;SI;NO;Arcilla;SI;Arcilla;SI;SI;1.1;ND;597000;Relleno sanitario;ordinarios-industriales-poda de arboles y cesped;SI;30;3;3;15;5;7;23;14;10/12/2016;Pasivo;149;NO;SI-aprovechamiento del biogas;ND;ND;1.92;1.92;JUAN CARLOS QUINTERO NARANJO;8845868;valentina.agudelo@veolia.com
2685;PROACTIVA DOãA JUANA E.S.P. S.A.;BOGOTA;BOGOTA;205;RELLENO SANITARIO DOãA JUANA;1|EN OPERACION;29/12/2000;19/02/2004;2010;9/06/2011;Municipio;4.6726615;-74.05817447;ND;8/03/2000;30/09/2007;ND;ND;ND;NO;NO;NO;NO;NO;ND;NO;ND;NO;NO;ND;ND;ND;Relleno sanitario;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;RAUL CASTILLEJO MARTINEZ;2188630;donajuana@proactiva.com.co
1211;EMPRESA DE SERVICIOS PUBLICOS DE LA PLATA HUILA E.S.P.;HUILA;LA PLATA;206;PLANTA DE RESIDUOS SOLIDOS DEL SUROCCIDENTE DEL HUILA;1|EN OPERACION;29/11/2000;27/02/2004;2009;11/05/2017;Otro;2.3277626;-75.99466361;1018;2/03/1998;29/11/2006;2009;0;0;NO;NO;NO;NO;NO;Otro;SI;No aplica;NO;NO;ND;ND;0;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;NO;NO;ND;ND;0;0;MARIO MONTILLA CABRERA;8370029;emserpla@hotmail.com
111;EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.;ANTIOQUIA;DONMATIAS;207;PARQUE AMBIENTAL LA PRADERA;1|EN OPERACION;3/07/2002;12/03/2004;2016;30/05/2017;Municipio;6.5216599;-75.3932134;ND;ND;6/12/2005;168;260000;50;SI;SI;SI;SI;NO;Sintetico;SI;Sintetico;SI;SI;1.04;ND;3919807;Relleno sanitario;ordinarios-industriales-;SI;58.69;0.09;0.36;15.11;8.73;0;5.01;12.01;31/12/2016;Pasivo;198;SI-reduccion de emisiones (quema);SI-reduccion de emisiones (quema);0;0;8.04;8.04;GUSTAVO ALEJANDRO GALLEGO HERNANDEZ;3807946;contacto@emvarias.com.co
2403;EMPRESAS PUBLICAS DE CAICEDONIA E.S.P.;VALLE DEL CAUCA;CAICEDONIA;247;EL JAZMIN;1|EN OPERACION;18/05/2004;18/05/2004;2011;1/03/2012;Empresa;4.305471;-75.8404757;1209;1/01/1999;31/12/2010;0;0;0;NO;NO;NO;NO;NO;Ninguno;SI;No aplica;NO;NO;ND;ND;0;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;NO;NO;ND;ND;0;0;EFREN OCTAVIO  RESTREP VELEZ ;2161696;empublicas@caicedonia-valle.gov.co
2076;EMPRESA DE ASEO DE PEREIRA S.A.  E.S.P.;RISARALDA;PEREIRA;287;LA GLORITA - VEREDA SUECIA;1|EN OPERACION;14/01/2000;19/01/2007;2009;27/09/2010;Empresa;4.8142912;-75.6946451;1133.56;31/07/1997;30/06/2005;45;60;20;SI;SI;SI;SI;NO;Tierra;SI;Tierra;SI;SI;1.08;ND;972980.02;Relleno sanitario;ordinarios-escombros-poda de arboles y cesped;SI;59.8;2.04;1.43;14.65;4.75;4.75;59.8;40.2;1/02/2009;Activo;24;SI-reduccion de emisiones (quema);SI-reduccion de emisiones (quema);0;0;2.25;2.25;YANETH DEL SOCORRO PERDOMO CATAãO;3341193;aseopereira@gmail.com
716;INSTITUTO DE SERVICIOS VARIOS DE IPIALES;NARINO;IPIALES;328;LA VICTORIA;1|EN OPERACION;17/06/2004;17/06/2004;2011;30/01/2012;Municipio;0.8278641;-77.6402069;ND;23/02/1993;ND;240;33164;9;SI;NO;SI;SI;NO;Otro;SI;Tierra;NO;SI;0.9;ND;324;Relleno sanitario;ordinarios-poda de arboles y cesped;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;Pasivo;12;NO;NO;ND;ND;0.33;0.26;LUIS CARLOS ORTEGA SANCHEZ;7734408;iservi@ipiales-narino.gov.co
2256;EMPRESA DE SERVICIOS  DE ASEO DE VALLEDUPAR S.A.  E.S.P. ASEOUPAR S.A. E.S.P.;CESAR;VALLEDUPAR;349;LOS CORAZONES;1|EN OPERACION;1/12/1999;30/06/2004;2015;4/10/2016;Empresa;10.4650361;-73.2528426;160;1/12/1999;14/04/2010;341;66000;14;SI;SI;SI;SI;NO;Sintetico;SI;Tierra;SI;SI;1;ND;1812658.97;Relleno sanitario;ordinarios-poda de arboles y cesped;SI;42;3;0;12;4;7;4;28;17/09/2013;Pasivo;37;NO;NO;ND;ND;0.46;0;JUAN MANUEL GOMEZ MEJIA;5850419;notificaciones@interaseo.com.co
