ID Empresa;Empresa;Año;Periodo;Departamento;Municipio;NUECA;Entrega ECA/Recoge rechazoECA;Sitio origen o destino residuo;#sitio origen/destino residuo;Dpto origen residuo;Municipio origen residuos;Tonelada entregadas recogidas;Fecha de cargue
81;ASEO TECNICO S.A.S. E.S.P.;2020;4;LA GUAJIRA;MAICAO;1270944430-ECA-MAICAO;Entrega a la ECA;Área de prestación del servicio;1270744430;LA GUAJIRA;MAICAO;0,6292;07/05/20
81;ASEO TECNICO S.A.S. E.S.P.;2020;2;LA GUAJIRA;MAICAO;1270944430-ECA-MAICAO;Entrega a la ECA;Área de prestación del servicio;1270744430;LA GUAJIRA;MAICAO;0,7537;11/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2020;3;LA GUAJIRA;MAICAO;1270944430-ECA-MAICAO;Entrega a la ECA;Área de prestación del servicio;1270744430;LA GUAJIRA;MAICAO;1,1693;07/05/20
81;ASEO TECNICO S.A.S. E.S.P.;2020;1;LA GUAJIRA;MAICAO;1270944430-ECA-MAICAO;Entrega a la ECA;Área de prestación del servicio;1270744430;LA GUAJIRA;MAICAO;1,7441;11/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2020;1;LA GUAJIRA;MAICAO;1270944430-ECA-MAICAO;Recoge el rechazo de la ECA;Sitio de disposición final;22244430;LA GUAJIRA;MAICAO;0,0213;11/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2020;3;LA GUAJIRA;MAICAO;1270944430-ECA-MAICAO;Recoge el rechazo de la ECA;Sitio de disposición final;22244430;LA GUAJIRA;MAICAO;0,0231;07/05/20
81;ASEO TECNICO S.A.S. E.S.P.;2020;2;LA GUAJIRA;MAICAO;1270944430-ECA-MAICAO;Recoge el rechazo de la ECA;Sitio de disposición final;22244430;LA GUAJIRA;MAICAO;0,0265;11/06/20
84;COOPERATIVA DE TRABAJO ASOCIADO RECUPERAR;2020;2;ANTIOQUIA;ITAGUI;705305360-RECUPERAR;Entrega a la ECA;Área de prestación del servicio;698305360;ANTIOQUIA;ITAGUI;18,295;03/03/20
84;COOPERATIVA DE TRABAJO ASOCIADO RECUPERAR;2020;1;ANTIOQUIA;ITAGUI;705305360-RECUPERAR;Entrega a la ECA;Área de prestación del servicio;698305360;ANTIOQUIA;ITAGUI;24,837;04/02/20
84;COOPERATIVA DE TRABAJO ASOCIADO RECUPERAR;2020;2;ANTIOQUIA;ITAGUI;705305360-RECUPERAR;Entrega a la ECA;Área de prestación del servicio;697805001;ANTIOQUIA;MEDELLIN;40,052;03/03/20
