ID;Empresa;Departamento;Municipio;Periodicidad;Año;Cubrimiento;No personas vinculadas a la labor recolección y transporte;Cantidad de residuos producidos (ton/mes);Cantidad de residuos recolectados (ton/mes);Sistema de medición de residuos;Frecuencia  modal recolección residencial (Veces/semana);Frecuencia  modal recolección comercial (Veces/semana);Frecuencia  modal recolección industrial (Veces/semana);Tipo de recolección;Fecha de cargue
1;EMPRESA MUNICIPAL DE SERVICIOS DE ASEO DE RIOSUCIO - CALDAS;CALDAS;RIOSUCIO;Anual;2002;Toda el area urbana;6;237;206;Pesaje;6;6;0;Mezclada;23/09/2005
1;EMPRESA MUNICIPAL DE SERVICIOS DE ASEO DE RIOSUCIO - CALDAS;CALDAS;RIOSUCIO;Anual;2003;Toda el area urbana;6;305;230;Pesaje;6;6;0;Mezclada;13/10/2005
1;EMPRESA MUNICIPAL DE SERVICIOS DE ASEO DE RIOSUCIO - CALDAS;CALDAS;RIOSUCIO;Anual;2004;Toda el area urbana;6;257;253;Pesaje;6;6;0;Mezclada;13/10/2005
1;EMPRESA MUNICIPAL DE SERVICIOS DE ASEO DE RIOSUCIO - CALDAS;CALDAS;RIOSUCIO;Anual;2005;Toda el area urbana;6;290;286;Pesaje;2;2;0;Mezclada;11/04/2006
1;EMPRESA MUNICIPAL DE SERVICIOS DE ASEO DE RIOSUCIO - CALDAS;CALDAS;RIOSUCIO;Anual;2006;Toda el area urbana;6;263;260;Pesaje;2;2;0;Mezclada;30/03/2007
1;EMPRESA MUNICIPAL DE SERVICIOS DE ASEO DE RIOSUCIO - CALDAS;CALDAS;RIOSUCIO;Anual;2007;Toda el area urbana;6;260;254;Pesaje;2;2;0;Mezclada;9/01/2008
1;EMPRESA MUNICIPAL DE SERVICIOS DE ASEO DE RIOSUCIO - CALDAS;CALDAS;RIOSUCIO;Anual;2008;Toda el area urbana;6;260;254;Pesaje;2;2;0;Mezclada;4/06/2009
2;OFICINA DE DESARROLLO ECONOMICO Y SERVICIOS PUBLICOS DEL MUNICIPIO DE RISARALDA ;CALDAS;RISARALDA;Anual;2008;Parte del area urbana;4;59;14;Pesaje;2;2;2;Mezclada;29/07/2012
4;AQUAMANA E.S.P.;CALDAS;VILLAMARIA;Anual;2002;Toda el area urbana;17;340;340;Pesaje;2;2;2;Mezclada;7/09/2004
4;AQUAMANA E.S.P.;CALDAS;VILLAMARIA;Anual;2003;Toda el area urbana;20;325;325;Volumen;2;2;2;Mezclada;1/11/2006
4;AQUAMANA E.S.P.;CALDAS;VILLAMARIA;Anual;2004;Toda el area urbana;10;398;398;Volumen;2;2;2;Mezclada;1/06/2005
